path,type,rms,centroid,rolloff,zcr,tempo,density,key_guess
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/SFX/SFX 7.wav,SFX,0.413153,216.13,186.62,0.031209,0.0,7.3329,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/SFX/SFX 5.wav,SFX,0.057987,1541.46,2451.58,0.096773,0.0,1.834,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/SFX/SFX 4.wav,SFX,0.116098,3308.39,6119.23,0.160683,0.0,1.6943,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/SFX/SFX 1.wav,SFX,0.028887,818.63,1068.59,0.039747,0.0,1.1596,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/SFX/SFX 3.wav,SFX,0.023596,3734.08,6509.24,0.290101,0.0,6.1111,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/SFX/SFX 2.wav,SFX,0.062187,5189.63,8877.64,0.466973,0.0,1.3759,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/SFX/SFX 8.wav,SFX,0.014609,1607.08,1982.89,0.141117,0.0,2.8646,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Percussion/Clave 1.wav,Perc,0.009728,2815.5,3598.69,0.224112,0.0,4.074,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Percussion/Percussion 5.wav,Perc,0.023736,1581.78,2793.93,0.131795,0.0,1.8332,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Percussion/Percussion 4.wav,Perc,0.041037,2016.02,3673.21,0.150655,0.0,5.4997,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Percussion/Percussion 6.wav,Perc,0.008148,4897.49,7928.26,0.450033,0.0,1.8332,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Percussion/Percussion 7.wav,Perc,0.030489,3688.83,5414.25,0.322795,0.0,7.3329,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Percussion/Percussion 3.wav,Perc,0.020812,3098.81,5255.0,0.241903,0.0,5.4997,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Percussion/Percussion 2.wav,Perc,0.029025,3602.42,6294.87,0.297791,0.0,5.4997,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Percussion/Percussion 1.wav,Perc,0.039565,886.6,1672.92,0.02274,0.0,4.1902,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Percussion/Rim Shot 1.wav,Perc,0.029784,2719.41,5745.06,0.111784,0.0,7.3329,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Percussion/Percussion 9.wav,Perc,0.039143,3571.33,6226.99,0.325362,0.0,5.4999,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Percussion/Percussion 8.wav,Perc,0.041921,626.81,620.11,0.043291,0.0,4.5832,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Percussion/Rim Shot 2.wav,Perc,0.043919,2405.84,4805.49,0.089071,0.0,3.6664,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Percussion/Cowbell 1.wav,Perc,0.015959,1498.54,2334.16,0.096829,0.0,9.5331,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Percussion/Cowbell 2.wav,Perc,0.016546,3223.41,6012.02,0.129304,0.0,9.0878,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Percussion/Cowbell 3.wav,Perc,0.02713,1834.62,3137.59,0.07913,0.0,7.5522,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_014_TOP_110.wav,Top,0.093847,5735.85,8537.46,0.523495,0.0,6.4166,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_011_STRIPPED_110.wav,Drum,0.221274,1247.06,2615.48,0.026305,0.0,2.1771,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_008_PERCUSSION_110.wav,Perc,0.073106,2128.08,3957.59,0.100634,0.0,4.0104,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_019_NOKICK_110.wav,Kick,0.086921,4213.64,7409.05,0.249033,0.0,5.9583,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_005_PERCUSSION_110.wav,Perc,0.056605,2364.67,4353.4,0.103991,0.0,7.1041,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_018_FULL_110.wav,Drum,0.212545,4010.73,7244.78,0.220082,0.0,6.1875,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_004_NOKICK_110.wav,Kick,0.144025,5569.7,8635.1,0.506955,0.0,5.9583,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_011_NOKICK_110.wav,Kick,0.107712,2803.68,4724.45,0.152702,0.0,4.9271,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_008_TOP_110.wav,Top,0.086579,4474.63,7481.9,0.399388,0.0,4.3542,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_015_PERCUSSION_110.wav,Perc,0.020044,2633.77,4252.18,0.243084,0.0,1.0312,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_018_PERCUSSION_110.wav,Perc,0.020014,583.48,890.99,0.028357,0.0,0.6875,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_005_STRIPPED_110.wav,Drum,0.273222,1415.49,2856.64,0.055997,0.0,1.9479,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_016_NOKICK_110.wav,Kick,0.091123,3439.58,6308.66,0.234072,0.0,4.125,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_003_NOKICK_110.wav,Kick,0.147584,3499.93,6219.77,0.233469,0.0,4.6979,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_001_TOP_110.wav,Top,0.096122,4598.25,7626.96,0.332451,0.0,5.3854,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_019_FULL_110.wav,Drum,0.290953,2966.67,6289.84,0.049574,0.0,6.7604,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_002_NOKICK_110.wav,Kick,0.141994,3711.08,6780.1,0.19672,0.0,4.9271,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_017_NOKICK_110.wav,Kick,0.107581,5106.9,8361.93,0.479016,0.0,6.0729,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_001_STRIPPED_110.wav,Drum,0.166894,1704.86,3345.98,0.074263,0.0,1.7187,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_018_TOP_110.wav,Top,0.04862,4507.84,7617.54,0.302545,0.0,4.8125,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_004_TOP_110.wav,Top,0.118557,5935.16,8906.21,0.551928,0.0,5.0416,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_020_STRIPPED_110.wav,Drum,0.170569,2101.27,3953.0,0.124601,0.0,1.9479,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_010_NOKICK_110.wav,Kick,0.125199,4566.59,8055.19,0.378371,0.0,6.9896,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_005_NOKICK_110.wav,Kick,0.11354,4684.68,7803.07,0.315661,0.0,4.3542,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_011_TOP_110.wav,Top,0.076578,2563.9,4133.83,0.164512,0.0,4.0104,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_016_PERCUSSION_110.wav,Perc,0.041392,2017.97,3749.64,0.103365,0.0,3.3229,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_015_STRIPPED_110.wav,Drum,0.23505,1497.87,3271.93,0.03593,0.0,1.9479,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_006_PERCUSSION_110.wav,Perc,0.112817,2449.83,4457.77,0.129421,0.0,5.2708,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_018_NOKICK_110.wav,Kick,0.099895,4812.98,8045.43,0.344266,0.0,5.3854,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_022_FULL_110.wav,Drum,0.284066,3430.44,7157.9,0.104239,0.0,5.6146,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_010_PERCUSSION_110.wav,Perc,0.027147,1710.49,2918.46,0.090244,0.0,4.125,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_020_TOP_110.wav,Top,0.133325,3026.89,5610.86,0.149876,0.0,4.3542,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_012_NOKICK_110.wav,Kick,0.107252,4258.39,7299.24,0.349869,0.0,5.0416,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_007_NOKICK_110.wav,Kick,0.1385,4725.27,8022.21,0.314882,0.0,6.1875,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_012_TOP_110.wav,Top,0.066709,4708.17,7754.44,0.417739,0.0,6.4166,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_010_STRIPPED_110.wav,Drum,0.210222,2168.53,4095.46,0.115168,0.0,3.7812,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_006_FULL_110.wav,Drum,0.244729,3137.21,6423.14,0.126771,0.0,6.0729,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_001_FULL_110.wav,Drum,0.227394,3499.13,6309.4,0.197979,0.0,5.2708,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_007_TOP_110.wav,Top,0.121674,4994.19,8243.24,0.33707,0.0,6.7604,
