path,type,rms,centroid,rolloff,zcr,tempo,density,key_guess
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_016_TOP_110.wav,Top,0.058004,3425.16,6034.39,0.236123,0.0,5.0416,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_006_STRIPPED_110.wav,Drum,0.179775,1926.99,4240.7,0.065856,0.0,2.6354,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_009_FULL_110.wav,Drum,0.236948,3500.3,6898.61,0.187939,0.0,5.9583,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_012_STRIPPED_110.wav,Drum,0.178661,2391.83,4351.25,0.135695,0.0,2.2917,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_007_PERCUSSION_110.wav,Perc,0.084724,2637.6,5155.94,0.09855,0.0,3.2083,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_003_TOP_110.wav,Top,0.125574,3325.9,5840.51,0.223508,0.0,4.6979,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_017_PERCUSSION_110.wav,Perc,0.022435,2867.86,4929.27,0.21351,0.0,3.4375,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_009_STRIPPED_110.wav,Drum,0.195164,1362.2,3000.1,0.043809,0.0,1.8333,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_008_FULL_110.wav,Drum,0.279298,2986.85,6294.97,0.138628,0.0,5.0416,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_019_PERCUSSION_110.wav,Perc,0.029298,1443.17,2809.77,0.066157,0.0,0.9167,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_022_NOKICK_110.wav,Kick,0.116484,4867.45,8219.5,0.348557,0.0,5.1562,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_016_STRIPPED_110.wav,Drum,0.191804,2098.71,4327.6,0.085186,0.0,2.2917,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_009_PERCUSSION_110.wav,Perc,0.054162,2158.86,3923.91,0.144108,0.0,3.0937,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_006_TOP_110.wav,Top,0.123662,3617.52,6604.48,0.190162,0.0,6.4166,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_004_PERCUSSION_110.wav,Perc,0.028354,1369.07,2591.34,0.060705,0.0,0.9167,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_002_STRIPPED_110.wav,Drum,0.269735,1135.39,2155.67,0.026381,0.0,1.9479,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_013_TOP_110.wav,Top,0.113074,5011.02,8170.33,0.367508,0.0,6.5312,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_021_TOP_110.wav,Top,0.074998,4877.47,7724.98,0.333429,0.0,6.6458,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Toms/Low Tom 5.wav,Other,0.020827,2321.7,4235.22,0.137467,0.0,7.3334,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Toms/High Tom 2.wav,Other,0.079841,445.12,606.01,0.008231,0.0,3.7011,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Toms/High Tom 3.wav,Other,0.041245,720.25,1161.12,0.024262,0.0,8.4836,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Toms/Low Tom 4.wav,Other,0.065099,999.72,1967.42,0.032373,0.0,8.8001,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Toms/Low Tom 6.wav,Other,0.02713,3630.74,6121.48,0.338526,0.0,1.7837,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Toms/High Tom 1.wav,Other,0.026776,1126.34,2038.14,0.037911,0.0,8.1483,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Toms/Low Tom 3.wav,Other,0.101255,220.72,295.34,0.006934,0.0,9.3331,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Toms/Low Tom 2.wav,Other,0.014676,2565.59,4746.38,0.182911,0.0,1.0476,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Toms/Low Tom 1.wav,Other,0.042883,529.16,803.64,0.032687,0.0,8.9628,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Toms/Mid Tom 5.wav,Other,0.012368,1148.62,2305.97,0.047457,0.0,9.5133,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Toms/Mid Tom 4.wav,Other,0.029304,3170.51,5396.79,0.27329,0.0,2.619,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Toms/Mid Tom 6.wav,Other,0.019045,528.85,880.44,0.017062,0.0,5.8666,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Toms/Mid Tom 7.wav,Other,0.035017,4639.32,7966.87,0.4093,0.0,1.1285,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Toms/Mid Tom 3.wav,Other,0.040066,2641.44,5416.2,0.044,0.0,12.2215,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Toms/Mid Tom 2.wav,Other,0.056628,684.26,1120.24,0.012091,0.0,3.1428,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Toms/Mid Tom 1.wav,Other,0.029884,501.64,627.76,0.013898,0.0,6.1605,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Claps/Clap 2.wav,Clap,0.090056,1920.46,3864.78,0.065508,0.0,1.7372,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Claps/Clap 3.wav,Clap,0.061201,2493.13,4885.02,0.132188,0.0,3.4738,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Claps/Clap 1.wav,Clap,0.047296,4074.39,7086.22,0.333272,0.0,1.8332,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Claps/Clap 4.wav,Clap,0.103476,2886.49,5337.84,0.154595,0.0,7.3533,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Claps/Clap 5.wav,Clap,0.049498,2445.95,4523.26,0.141328,0.0,1.7564,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Claps/Clap 7.wav,Clap,0.018465,4491.94,7738.55,0.394025,0.0,1.6297,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Claps/Clap 6.wav,Clap,0.058259,3165.27,5450.48,0.221504,0.0,3.5128,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Claps/Clap 11.wav,Clap,0.01353,4571.28,7962.02,0.389534,0.0,2.7501,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Claps/Clap 10.wav,Clap,0.03025,3990.59,7627.46,0.238698,0.0,7.2983,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Claps/Clap 12.wav,Clap,0.039477,2852.04,4776.28,0.19873,0.0,3.6526,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Claps/Clap 8.wav,Clap,0.038073,2095.36,3763.65,0.119312,0.0,1.1932,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Claps/Clap 9.wav,Clap,0.056892,3772.3,6724.64,0.276123,0.0,1.8332,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Pad loop/Padloop_003_110_Am.wav,Pad,0.054039,2007.01,4001.91,0.094134,0.0,4.0104,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Pad loop/Padloop_012_110_Am.wav,Pad,0.029666,1415.51,2570.1,0.082114,0.0,2.6927,B
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Pad loop/Padloop_006_110_Am.wav,Pad,0.183788,2330.21,4393.0,0.119542,0.0,6.7604,C
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Pad loop/Padloop_001_110_Am.wav,Pad,0.133463,882.21,1442.41,0.064182,0.0,1.4896,C
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Pad loop/Padloop_010_110_Am.wav,Pad,0.051671,2780.1,4431.46,0.193191,0.0,1.1458,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Pad loop/Padloop_015_110_Am.wav,Pad,0.171187,2792.29,5132.63,0.1429,0.0,4.9271,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Pad loop/Padloop_009_110_Am.wav,Pad,0.139527,1193.92,2670.89,0.056889,0.0,4.6979,E
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Pad loop/Padloop_004_110_Am.wav,Pad,0.202884,1417.66,2496.53,0.060346,0.0,2.1771,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Pad loop/Padloop_016_110_Am.wav,Pad,0.097004,811.5,1369.65,0.043373,0.0,7.1041,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Pad loop/Padloop_007_110_Am.wav,Pad,0.208631,1433.99,2658.23,0.050401,0.0,5.6146,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Pad loop/Padloop_002_110_Am.wav,Pad,0.112685,1346.11,1966.71,0.0869,0.0,6.0729,C
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Pad loop/Padloop_013_110_Am.wav,Pad,0.192856,1806.2,4163.25,0.052552,0.0,4.8698,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Pad loop/Padloop_014_110_Am.wav,Pad,0.165914,828.31,1381.09,0.05455,0.0,5.3854,C
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Pad loop/Padloop_008_110_Am.wav,Pad,0.103035,1533.2,3071.9,0.072586,0.0,8.5365,A#
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Pad loop/Padloop_005_110_Am.wav,Pad,0.122368,759.43,1271.5,0.052725,0.0,3.9531,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Pad loop/Padloop_011_110_Am.wav,Pad,0.109029,1300.03,1803.95,0.11579,0.0,7.3333,G
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/bass loop/ Bassloop_003_110_Am.wav,Bass,0.250105,965.5,2084.91,0.01288,0.0,7.3333,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/bass loop/ Bassloop_012_110_Am.wav,Bass,0.272218,1226.5,2625.88,0.025996,0.0,7.3333,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/bass loop/ Bassloop_006_110_Am.wav,Bass,0.209248,628.88,1237.93,0.009673,0.0,3.4375,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/bass loop/ Bassloop_001_110_Am.wav,Bass,0.269006,1602.16,3780.37,0.017294,0.0,3.8958,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/bass loop/ Bassloop_010_110_Am.wav,Bass,0.292188,1906.33,4300.23,0.03288,0.0,7.3333,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/bass loop/ Bassloop_015_110_Am.wav,Bass,0.205205,688.33,1319.62,0.026249,0.0,2.0625,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/bass loop/ Bassloop_009_110_Am.wav,Bass,0.273126,444.19,843.37,0.007896,0.0,4.3542,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/bass loop/ Bassloop_004_110_Am.wav,Bass,0.254169,692.54,1225.59,0.015522,0.0,7.2187,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/bass loop/ Bassloop_016_110_Am.wav,Bass,0.227877,1757.77,4359.47,0.011343,0.0,2.2917,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/bass loop/ Bassloop_007_110_Am.wav,Bass,0.289081,1002.06,1847.79,0.042556,0.0,4.9271,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/bass loop/ Bassloop_002_110_Am.wav,Bass,0.280219,1154.34,2431.92,0.0196,0.0,3.3229,C
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/bass loop/ Bassloop_013_110_Am.wav,Bass,0.231714,535.63,936.51,0.01098,0.0,7.3333,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/bass loop/ Bassloop_014_110_Am.wav,Bass,0.247334,1205.71,2579.29,0.017185,0.0,7.3333,A#
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/bass loop/ Bassloop_008V2_110_Am.wav,Bass,0.302501,1233.47,2909.24,0.024086,0.0,4.9844,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/bass loop/ Bassloop_008_110_Am.wav,Bass,0.276318,911.52,1945.05,0.014731,0.0,3.0937,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/bass loop/ Bassloop_005_110_Am.wav,Bass,0.251345,714.8,1589.08,0.007942,0.0,2.0625,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/bass loop/ Bassloop_011_110_Am.wav,Bass,0.305049,1476.62,3170.58,0.034416,0.0,7.3333,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Snares/Snare 1.wav,Snare,0.056857,4176.35,7059.01,0.336191,0.0,3.5848,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Snares/Snare 3.wav,Snare,0.068651,4197.99,7419.48,0.298359,0.0,5.3291,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Snares/Snare 2.wav,Snare,0.054474,4806.26,8181.42,0.377157,0.0,2.4444,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Snares/Snare 6.wav,Snare,0.041658,2125.65,4172.78,0.108382,0.0,10.266,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Snares/Snare 10.wav,Snare,0.06644,2672.6,5291.57,0.092344,0.0,3.5502,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Snares/Snare 11.wav,Snare,0.075518,3800.02,6635.82,0.285617,0.0,3.6664,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Snares/Snare 7.wav,Snare,0.07045,3249.9,5877.22,0.171631,0.0,5.4997,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Snares/Snare 5.wav,Snare,0.063086,3511.3,6393.96,0.251061,0.0,3.8684,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Snares/Snare 12.wav,Snare,0.072114,3462.45,6162.53,0.25474,0.0,1.8144,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Snares/Snare 4.wav,Snare,0.046669,3319.41,6296.22,0.198914,0.0,13.0143,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Snares/Snare 9.wav,Snare,0.07947,3565.21,6597.24,0.24174,0.0,10.9993,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Snares/Snare 8.wav,Snare,0.082917,3817.32,7506.04,0.153145,0.0,1.783,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Synth loop/Synthloop_007_110_Am.wav,Synth,0.13905,1342.11,2442.4,0.055909,0.0,1.1458,C
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Synth loop/Synthloop_002_110_Am.wav,Synth,0.217254,542.76,868.3,0.034499,0.0,3.7812,C
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Synth loop/Synthloop_013_110_Am.wav,Synth,0.20597,1313.37,2721.5,0.046093,0.0,7.3906,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Synth loop/Synthloop_014_110_Am.wav,Synth,0.070669,1956.35,3716.71,0.093105,0.0,8.5365,C
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Synth loop/Synthloop_008_110_Am.wav,Synth,0.115669,1668.04,3188.98,0.060377,0.0,4.5833,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Synth loop/Synthloop_005_110_Am.wav,Synth,0.047634,1693.81,2781.48,0.099526,0.0,0.9167,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Synth loop/Synthloop_011_110_Am.wav,Synth,0.239332,1387.21,2714.17,0.039107,0.0,7.276,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Synth loop/Synthloop_003_110_Am.wav,Synth,0.217011,3021.35,5990.6,0.08658,0.0,4.0677,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Synth loop/Synthloop_012_110_Am.wav,Synth,0.205443,3508.15,5653.5,0.201854,0.0,7.5625,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Synth loop/Synthloop_006_110_Am.wav,Synth,0.257553,1450.01,2841.77,0.048229,0.0,2.75,B
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Synth loop/Synthloop_001V2_110_Am.wav,Synth,0.185582,2066.96,4213.35,0.052698,0.0,3.8958,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Synth loop/Synthloop_001_110_Am.wav,Synth,0.185959,2275.18,4532.77,0.063935,0.0,4.0104,B
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Synth loop/Synthloop_010_110_Am.wav,Synth,0.130413,813.58,1307.68,0.068721,0.0,7.3333,A
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Synth loop/Synthloop_009_110_Am.wav,Synth,0.157176,1725.96,3455.05,0.045043,0.0,4.5833,G#
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/Synth loop/Synthloop_004_110_Am.wav,Synth,0.157698,1601.56,2672.06,0.095847,0.0,0.4583,E
